ID,Field,Question,Principle,Challenge,Knowledge Base,Source
18,Artificial Intelligence,Design a novel robot control system based on reinforcement learning to enhance autonomous decision-making capabilities.,Reinforcement learning,Autonomous decision-making in robotics,Reinforcement learning is an area of machine learning concerned with how agents ought to take actions in an environment in order to maximize some notion of cumulative reward.,Wikipedia
19,Artificial Intelligence,Propose a novel drug design system based on generative models to accelerate new drug development.,Generative models,New drug development,"A generative model is a model for randomly generating observable data values, typically given some hidden parameters.",Wikipedia
20,Artificial Intelligence,Design a novel speech recognition system based on self-supervised learning to enhance multilingual support.,Self-supervised learning,Multilingual support in speech recognition,"Self-supervised learning is a machine learning paradigm, where the data provides the supervision.",Chatgpt-4o
21,Biomedical Sciences,Propose a novel disease treatment method based on CRISPR gene-editing technology.,CRISPR gene-editing technology,Disease treatment,"Gene editing is a type of genetic engineering in which DNA is inserted, deleted, modified, or replaced in the genome of a living organism.",Wikipedia
22,Biomedical Sciences,Design a novel cancer therapy regimen based on immunotherapy.,Immunotherapy,Cancer therapy,Immunotherapy is a type of cancer treatment that helps your immune system fight cancer.,Wikipedia
23,Biomedical Sciences,Propose a novel organ regeneration approach utilizing stem cell technology.,Stem cell technology,Organ regeneration,Stem cell therapy is the use of stem cells to treat or prevent a disease or condition.,Wikipedia
24,Biomedical Sciences,Design an innovative neurorehabilitation device based on brain-computer interface technology.,Brain-computer interface technology,Neurorehabilitation,"Brain–computer interface (BCI) is a direct communication pathway between the brain's electrical activity and an external device, most commonly a computer or robotic limb.",Wikipedia
25,Biomedical Sciences,Propose a novel gut health management strategy grounded in microbiome research.,Microbiome research,Gut health management,Microbiome refers to the collection of all the microorganisms living in association with the human body.,Wikipedia
26,Biomedical Sciences,Design a novel biofuel production technique based on synthetic biology principles.,Synthetic biology principles,Biofuel production,Synthetic biology is a field of science that involves redesigning organisms for useful purposes by engineering them to have new abilities.,Wikipedia
27,Biomedical Sciences,Propose a novel drug screening system founded on protein folding principles.,Protein folding principles,Drug screening,"Protein folding is the physical process by which a protein chain acquires its native 3-dimensional structure, a conformation that is usually biologically functional.",Wikipedia
28,Biomedical Sciences,Design a novel personalized medical regimen utilizing gene sequencing technology.,Gene sequencing technology,Personalized medical regimen,Gene sequencing is the process of determining the nucleic acid sequence – the order of nucleotides in DNA.,Wikipedia
29,Biomedical Sciences,Propose a novel artificial skin fabrication method based on tissue engineering.,Tissue engineering,Artificial skin fabrication,"Tissue engineering is the use of a combination of cells, engineering, and materials methods, and suitable biochemical and physicochemical factors to improve or replace biological tissues.",Wikipedia
30,Biomedical Sciences,Design a novel vaccine delivery system employing viral vector technology.,Viral vector technology,Vaccine delivery,Viral vector is a tool commonly used by molecular biologists to deliver genetic material into cells.,Wikipedia
31,Environmental Science,Propose a novel urban greening strategy based on ecological principles to enhance biodiversity.,Ecological principles,Urban greening and biodiversity,"Ecological principles study the interactions among organisms and their environment, focusing on energy flow, nutrient cycling, and ecosystem dynamics.",Wikipedia
32,Environmental Science,Design a real-time air quality warning system utilizing environmental monitoring technologies.,Environmental monitoring technologies,Air quality warning,"Environmental monitoring technologies involve tools and techniques to observe and measure environmental parameters, such as air and water quality, to detect changes and ensure compliance with environmental standards.",Wikipedia
33,Environmental Science,Propose an optimized site selection model for industrial projects based on environmental impact assessment methodologies.,Environmental impact assessment methodologies,Site selection for industrial projects,"Environmental impact assessment methodologies are systematic processes used to evaluate the potential environmental effects of proposed projects or developments, aiding in informed decision-making.",Wikipedia
34,Environmental Science,Design an innovative wastewater treatment process grounded in sustainable development concepts to reduce water pollution.,Sustainable development concepts,Wastewater treatment and water pollution,"Sustainable development concepts emphasize meeting present needs without compromising the ability of future generations to meet their own, integrating economic growth, social inclusion, and environmental protection.",Wikipedia
35,Environmental Science,Propose a novel climate change prediction model based on atmospheric science principles to improve forecast accuracy.,Atmospheric science principles,Climate change prediction,"Atmospheric science principles involve the study of Earth's atmosphere, including weather processes, climate patterns, and the chemical and physical properties of atmospheric components.",Wikipedia
36,Environmental Science,Design a soil heavy metal pollution remediation technology based on environmental chemistry theories.,Environmental chemistry theories,Soil heavy metal pollution remediation,"Environmental chemistry theories focus on the chemical composition of the environment and the reactions, transport, effects, and fates of chemical species in air, water, and soil.",Wikipedia
37,Environmental Science,Propose an urban stormwater management system based on hydrological principles to mitigate urban flooding.,Hydrological principles,Urban stormwater management and flooding,"Hydrological principles study the distribution, movement, and properties of water on Earth, encompassing the water cycle processes such as precipitation, evaporation, infiltration, and runoff.",Wikipedia
38,Environmental Science,Develop a novel chemical risk assessment method based on environmental toxicology studies.,Environmental toxicology studies,Chemical risk assessment,"Environmental toxicology examines the harmful effects of chemical, physical, and biological agents on living organisms, assessing risks and establishing safety standards.",Wikipedia
39,Environmental Science,Propose an incentive mechanism based on environmental economics models to encourage companies to reduce carbon emissions.,Environmental economics models,Carbon emissions reduction,"Environmental economics models analyze the economic impacts of environmental policies and resource use, aiming to balance economic growth with environmental sustainability.",Wikipedia
40,Environmental Science,Develop an environmental protection policy framework based on environmental ethics principles to enhance public environmental awareness.,Environmental ethics principles,Environmental protection policy and public awareness,"Environmental ethics principles explore the moral responsibilities of humans toward the environment, advocating for the respect and preservation of natural ecosystems and resources.",Wikipedia
41,Materials Science,"Design a novel high-strength, lightweight alloy for aerospace applications based on the self-assembly principles of nanomaterials.",Self-assembly principles of nanomaterials,"High-strength, lightweight alloy for aerospace","Self-assembly is a process in which a disordered system of pre-existing components forms an organized structure or pattern as a consequence of specific, local interactions among the components themselves, without external direction.",Wikipedia
42,Materials Science,"Propose a high-efficiency energy transmission system that reduces power loss, utilizing the zero-resistance properties of superconductors.",Zero-resistance properties of superconductors,High-efficiency energy transmission,"Superconductors are materials that can conduct electricity with zero resistance below a certain temperature, known as the critical temperature. This property allows for the creation of highly efficient energy transmission systems with minimal power loss.",Wikipedia
43,Materials Science,Design an intelligent medical implant with self-adaptive functions based on the phase transformation mechanisms of shape memory alloys.,Phase transformation mechanisms of shape memory alloys,Intelligent medical implants,"Shape memory alloys (SMAs) are materials that can return to their original shape after deformation when exposed to a specific stimulus, such as temperature change. This property is due to a phase transformation mechanism that occurs within the material.",Wikipedia
44,Materials Science,"Propose a novel flexible electronic device to enhance wearable technology performance, leveraging the high conductivity of two-dimensional materials like graphene.",High conductivity of two-dimensional materials like graphene,Flexible electronic devices,"Graphene is a single layer of carbon atoms arranged in a two-dimensional honeycomb lattice. It exhibits high electrical conductivity, making it a promising material for flexible electronic devices.",Wikipedia
45,Materials Science,"Design a high-efficiency optical filter for communication systems, based on the bandgap properties of photonic crystals.",Bandgap properties of photonic crystals,High-efficiency optical filters,"Photonic crystals are optical materials that have a periodic structure on the scale of the wavelength of light, leading to band gaps for certain wavelengths, similar to how semiconductors have electronic band gaps.",Wikipedia
46,Materials Science,"Propose a protective coating with extended lifespan, utilizing the dynamic bonding mechanisms of self-healing polymers.",Dynamic bonding mechanisms of self-healing polymers,Protective coatings with extended lifespan,"Self-healing polymers are materials that can repair themselves after damage, typically through dynamic chemical bonds that can reform after being broken.",Wikipedia
47,Materials Science,"Design a novel energy harvesting device to power micro-sensors, based on the electromechanical coupling effects of piezoelectric materials.",Electromechanical coupling effects of piezoelectric materials,Energy harvesting for micro-sensors,"Piezoelectric materials generate an electric charge in response to mechanical stress, enabling the conversion of mechanical energy into electrical energy.",Chatgpt-4o
48,Materials Science,"Propose a high-efficiency gas separation membrane to enhance industrial gas purity, utilizing the high surface area characteristics of metal-organic frameworks (MOFs).",High surface area characteristics of metal-organic frameworks (MOFs),High-efficiency gas separation,"Metal-organic frameworks are compounds consisting of metal ions or clusters coordinated to organic ligands, forming a porous structure with high surface area, useful for gas storage and separation.",Wikipedia
49,Materials Science,"Design a tunable optical lens with zoom capabilities, based on the anisotropic properties of liquid crystal materials.",Anisotropic properties of liquid crystal materials,Tunable optical lenses with zoom capabilities,"Liquid crystal materials have properties between those of conventional liquids and solid crystals, allowing for the control of light transmission in optical devices.",Wikipedia
50,Materials Science,"Propose a novel bulletproof vest that enhances protection and comfort, inspired by the structural characteristics of biomimetic materials.",Structural characteristics of biomimetic materials,Bulletproof vests,"Biomimetic materials are synthetic materials designed to imitate the properties and functions of natural biological materials, often resulting in enhanced performance.",Wikipedia
51,Energy Technology,Design an efficient household power supply system based on photovoltaic solar power generation principles to reduce dependence on traditional power grids.,Photovoltaic solar power generation principles,Household power supply and dependence on traditional grids,Photovoltaic solar power generation converts sunlight directly into electricity using semiconductor materials that exhibit the photovoltaic effect.,Wikipedia
52,Energy Technology,Propose a novel offshore wind farm layout scheme based on wind power generation technology to enhance energy output.,Wind power generation technology,Offshore wind farm layout and energy output,"Wind power generation harnesses kinetic energy from wind using turbines, converting it into mechanical energy and subsequently into electricity.",Wikipedia
53,Energy Technology,Design a district heating system based on geothermal energy utilization principles to reduce fossil fuel consumption.,Geothermal energy utilization principles,District heating and fossil fuel consumption,Geothermal energy utilization involves extracting heat from the Earth's interior to generate electricity or provide direct heating.,Wikipedia
54,Energy Technology,Propose a rural organic waste treatment solution based on biomass energy conversion technology to achieve energy self-sufficiency.,Biomass energy conversion technology,Rural organic waste treatment and energy self-sufficiency,"Biomass energy conversion transforms organic materials, such as agricultural residues, into usable energy forms like heat, electricity, or biofuels through processes like combustion or fermentation.",Wikipedia
55,Energy Technology,Design a future clean energy production device based on nuclear fusion reaction principles to provide stable energy supply.,Nuclear fusion reaction principles,Future clean energy production and stable energy supply,"Nuclear fusion reactions involve combining light atomic nuclei, such as isotopes of hydrogen, under extreme temperatures and pressures to form heavier nuclei, releasing substantial energy in the process.",Wikipedia
56,Energy Technology,Propose a distributed energy management system based on smart grid technology to optimize energy distribution.,Smart grid technology,Distributed energy management,"Smart grid technology integrates digital communication and control systems into the electrical grid to enhance the monitoring, efficiency, and reliability of energy distribution.",Wikipedia
57,Energy Technology,Design a fast-charging station for electric vehicles based on energy storage technology to improve charging efficiency.,Energy storage technology,Fast-charging stations for electric vehicles,"Energy storage technologies store excess energy for later use, employing methods like batteries, flywheels, or compressed air systems to balance supply and demand.",Chatgpt-4o
58,Energy Technology,Propose a novel vehicle power system based on hydrogen fuel cell principles to reduce carbon emissions.,Hydrogen fuel cell principles,Vehicle power systems and carbon emissions,"Hydrogen fuel cells generate electricity through electrochemical reactions between hydrogen and oxygen, producing water as the only byproduct.",Chatgpt-4o
59,Energy Technology,Design a tidal power generation device based on ocean energy utilization technology to supply electricity to coastal areas.,Ocean energy utilization technology,Tidal power generation for coastal areas,"Ocean energy utilization encompasses technologies that capture energy from oceanic sources, such as tidal movements, converting it into electricity.",Chatgpt-4o
60,Energy Technology,Propose an industrial waste heat utilization scheme based on energy recovery systems to improve energy efficiency.,Energy recovery systems,Industrial waste heat utilization and energy efficiency,"Energy recovery systems reclaim waste energy from industrial processes or other sources, converting it into useful power or heat to improve overall energy efficiency.",Chatgpt-4o
61,Neuroscience,Propose an educational method to enhance learning abilities based on the principles of synaptic plasticity.,Principles of synaptic plasticity,Learning abilities and education,"Synaptic plasticity refers to the ability of synapses, the connections between neurons, to strengthen or weaken over time in response to increases or decreases in their activity, playing a crucial role in learning and memory.",Chatgpt-4o
62,Neuroscience,Design a novel emotional regulation system utilizing neurofeedback techniques to assist in managing anxiety and depression.,Neurofeedback techniques,Emotional regulation and mental health,"Neurofeedback techniques involve monitoring real-time brain activity and providing feedback to individuals, enabling them to self-regulate brain functions to manage conditions like anxiety and depression.",Chatgpt-4o
63,Neuroscience,Propose a treatment strategy to promote spinal cord injury recovery based on neural regeneration mechanisms.,Neural regeneration mechanisms,Spinal cord injury recovery,"Neural regeneration mechanisms encompass the processes by which neurons and neural tissues repair, regenerate, or replace themselves after injury, contributing to recovery from nervous system damages.",Wikipedia
64,Neuroscience,Design a non-invasive brain-computer interface for device control through electroencephalogram (EEG) signal analysis.,Electroencephalogram (EEG) signal analysis,Non-invasive brain-computer interfaces,"Electroencephalogram (EEG) signal analysis involves recording and interpreting the brain's electrical activity through sensors placed on the scalp, facilitating non-invasive brain-computer interface applications.",Wikipedia
65,Neuroscience,Propose a novel pharmaceutical targeting neurotransmitter balance for the treatment of sleep disorders.,Neurotransmitter balance theory,Treatment of sleep disorders,"The neurotransmitter balance theory posits that maintaining optimal levels of chemical messengers in the brain is essential for regulating mood, sleep, and overall mental health.",Wikipedia
66,Neuroscience,Design an improved algorithm for epilepsy detection based on neural network synchronization principles to enhance diagnostic accuracy.,Neural network synchronization principles,Epilepsy detection,"Neural network synchronization refers to the coordinated firing patterns of neurons, where groups of neurons activate simultaneously, playing a role in various cognitive and motor functions.",Wikipedia
67,Neuroscience,Propose an intervention method for treating autism spectrum disorders grounded in sensory integration theory.,Sensory integration theory,Treatment of autism spectrum disorders,"Sensory integration theory explores how the brain processes and organizes sensory information from the body and environment, enabling appropriate responses and behaviors.",Chatgpt-4o
68,Neuroscience,"Design a rehabilitation training program to aid stroke patients in regaining motor functions, based on neuroplasticity.",Neuroplasticity,Rehabilitation training for stroke patients,"Neuroplasticity refers to the brain's ability to reorganize itself by forming new neural connections throughout an individual's life, allowing for adaptation to new experiences or recovery from injuries.",Wikipedia
69,Neuroscience,Propose a novel intervention strategy for addictive behaviors by targeting the dopamine reward system.,Dopamine reward system,Intervention for addictive behaviors,"The dopamine reward system involves neural pathways in the brain that release dopamine in response to rewarding stimuli, reinforcing behaviors and playing a key role in motivation and addiction.",Wikipedia
70,Neuroscience,"Design a training method to enhance social skills development, inspired by mirror neuron theory.",Mirror neuron theory,Social skills development,"Mirror neuron theory suggests the existence of neurons that fire both when an individual performs an action and when they observe the same action performed by another, potentially underlying mechanisms for empathy and social learning.",Chatgpt-4o
71,Information and Communication Technology,Propose an intelligent traffic management system based on 5G network technology to enhance urban road efficiency.,5G network technology,Intelligent traffic management and urban road efficiency,"5G network technology is the fifth-generation wireless communication standard, offering higher data transfer speeds, lower latency, and the ability to connect more devices simultaneously, thereby enhancing applications like intelligent traffic management.",Wikipedia
72,Information and Communication Technology,Design a decentralized identity authentication system based on blockchain principles to enhance data security.,Blockchain principles,Decentralized identity authentication and data security,"Blockchain is a decentralized ledger technology that records transactions across a network of computers, ensuring data integrity and security through cryptographic methods, making it suitable for applications like distributed identity authentication.",Chatgpt-4o
73,Information and Communication Technology,Propose an eavesdropping-resistant secure communication protocol based on quantum communication technology.,Quantum communication technology,Eavesdropping-resistant secure communication,"Quantum communication utilizes principles of quantum mechanics, such as entanglement and superposition, to enable secure data transmission that is theoretically immune to eavesdropping.",Wikipedia
74,Information and Communication Technology,Design a smart home data processing system based on edge computing principles to improve response speed.,Edge computing principles,Smart home data processing and response speed,"Edge computing involves processing data closer to the data source or end-user, reducing latency and bandwidth usage by performing computations at the network's edge rather than in centralized data centers.",Wikipedia
75,Information and Communication Technology,Propose an efficient data compression algorithm based on information theory models to optimize storage space.,Information theory models,Efficient data compression and storage optimization,"Information theory studies the quantification, storage, and communication of information, providing foundational models for data compression algorithms to optimize storage and transmission efficiency.",Wikipedia
76,Information and Communication Technology,Design a real-time multilingual translation system based on natural language processing technology to enhance cross-cultural communication efficiency.,Natural language processing technology,Real-time multilingual translation and cross-cultural communication,"Natural language processing (NLP) is a field of artificial intelligence that focuses on the interaction between computers and humans through natural language, enabling applications like real-time multilingual translation.",Wikipedia
77,Information and Communication Technology,Propose an intelligent agricultural monitoring system based on wireless sensor networks (WSN) to improve crop management precision.,Wireless sensor networks (WSN),Intelligent agricultural monitoring and crop management,"Wireless sensor networks (WSN) consist of spatially distributed sensors that monitor physical or environmental conditions, enabling applications like intelligent agricultural monitoring systems to enhance crop management.",Wikipedia
78,Information and Communication Technology,Design an adaptive traffic management scheme based on software-defined networking (SDN) technology to enhance network performance.,Software-defined networking (SDN) technology,Adaptive traffic management and network performance,"Software-defined networking (SDN) is a network management approach that separates the control plane from the data plane, allowing for centralized and programmable network traffic management to improve performance and flexibility.",Wikipedia
79,Information and Communication Technology,Propose a novel ultra-high-speed data transmission system based on optical fiber communication principles to optimize cloud computing center networks.,Optical fiber communication principles,Ultra-high-speed data transmission and cloud computing center networks,"Optical fiber communication uses light signals transmitted through fiber-optic cables to achieve high-speed data transmission over long distances, essential for optimizing networks in cloud computing centers.",Wikipedia
80,Information and Communication Technology,Design an intelligent remote medical monitoring system based on the Internet of Things (IoT) architecture to improve patient care quality.,Internet of Things (IoT) architecture,Intelligent remote medical monitoring and patient care quality,"The Internet of Things (IoT) architecture connects physical devices embedded with sensors and software to the internet, enabling remote monitoring and control, which is vital for applications like intelligent remote medical monitoring systems.",Wikipedia
81,Aerospace,Design a novel wing to enhance aircraft lift based on Bernoulli's principle.,Bernoulli's principle,Aircraft lift enhancement,"Bernoulli's principle states that an increase in the speed of a fluid occurs simultaneously with a decrease in pressure, which is fundamental in understanding how airfoil shapes generate lift in aircraft.",Wikipedia
82,Aerospace,Propose an efficient satellite launch system to reduce costs based on rocket propulsion principles.,Rocket propulsion principles,Efficient satellite launch systems and cost reduction,"Rocket propulsion operates on Newton's third law of motion, where the expulsion of mass (exhaust gases) at high speed from a rocket engine generates an equal and opposite force, propelling the rocket forward.",Wikipedia
83,Aerospace,Design a novel aircraft engine to improve fuel efficiency based on turbojet engine principles.,Turbojet engine principles,Aircraft engine fuel efficiency,"Turbojet engines function by compressing incoming air, mixing it with fuel, igniting the mixture to produce high-pressure exhaust gases, and expelling these gases through a nozzle to produce thrust.",Chatgpt-4o
84,Aerospace,Propose a temperature control scheme for deep space probes to ensure stable operation based on spacecraft thermal control technology.,Spacecraft thermal control technology,Temperature control for deep space probes,Spacecraft thermal control involves managing the temperatures of spacecraft components through passive methods (like insulation and radiators) and active methods (such as heaters and heat pumps) to ensure operational stability in varying thermal environments.,Wikipedia
85,Aerospace,Design a drone fuselage to enhance flight stability based on aircraft aerodynamics principles.,Aircraft aerodynamics principles,Drone fuselage flight stability,"Aerodynamics is the study of the behavior of air as it interacts with solid objects, like aircraft, focusing on forces such as lift, drag, and moments that affect flight stability and performance.",Wikipedia
86,Aerospace,Propose a global precise navigation system to improve positioning accuracy based on navigation satellite technology.,Navigation satellite technology,Global precise navigation and positioning accuracy,"Satellite navigation technology utilizes a network of satellites that transmit precise time and positional data, enabling receivers on Earth to determine their exact location by calculating the time delay of received signals.",Wikipedia
87,Aerospace,Design a reusable space capsule to reduce mission costs based on spacecraft re-entry technology.,Spacecraft re-entry technology,Reusable space capsules and mission costs,"Spacecraft re-entry technology addresses the challenges of a spacecraft returning to Earth's atmosphere, focusing on heat shield design, re-entry angles, and deceleration methods to ensure safe landing and reusability.",Wikipedia
88,Aerospace,Propose a novel autopilot system to enhance flight safety based on flight control system principles.,Flight control system principles,Autopilot systems and flight safety,"Flight control systems manage an aircraft's orientation and trajectory through automated or manual inputs, utilizing sensors and actuators to maintain desired flight paths and ensure safety.",Wikipedia
89,Aerospace,Design a globally covered high-speed internet service to bridge the digital divide based on satellite communication technology.,Satellite communication technology,Globally covered high-speed internet and digital divide,"Satellite communication technology enables data transmission over long distances by relaying signals between ground stations and satellites in orbit, facilitating global broadcasting, internet services, and secure military communications.",Wikipedia
90,Aerospace,Propose an attitude adjustment scheme for small satellites to ensure mission accuracy based on spacecraft attitude control principles.,Spacecraft attitude control principles,Attitude adjustment for small satellites and mission accuracy,"Spacecraft attitude control refers to the methods used to control the orientation of a spacecraft in three-dimensional space, employing devices like reaction wheels, control moment gyroscopes, and thrusters to achieve desired positioning for mission objectives.",Chatgpt-4o
91,Social Sciences,Propose a novel community mutual aid platform to promote neighborhood cooperation based on social exchange theory.,Social exchange theory,Community mutual aid platforms and neighborhood cooperation,"Social exchange theory posits that human relationships are formed through a cost-benefit analysis, where individuals seek to maximize rewards and minimize costs. ",Chatgpt-4o
92,Social Sciences,Design a policy evaluation model to enhance the effectiveness of public policy-making based on rational choice theory.,Rational choice theory,Policy evaluation models and public policy-making effectiveness,Rational choice theory suggests that individuals make decisions by weighing the potential benefits and costs to maximize personal advantage. ,Chatgpt-4o
93,Social Sciences,Propose an intervention strategy to increase employment rates in urban impoverished areas based on social capital theory.,Social capital theory,Employment rates in urban impoverished areas,"Social capital theory emphasizes the value of social networks and connections, proposing that these relationships provide resources and support that can lead to improved outcomes. ",Chatgpt-4o
94,Social Sciences,Design a cross-cultural training program to improve international business communication based on cultural relativism.,Cultural relativism,Cross-cultural training programs and international business communication,"Cultural relativism is the principle that an individual's beliefs and behaviors should be understood in the context of their own culture, avoiding ethnocentric judgments. ",Wikipedia
95,Social Sciences,Propose a corporate management plan to reduce workplace bias based on social identity theory.,Social identity theory,Corporate management plans and workplace bias reduction,"Social identity theory posits that a person's sense of self is derived from their group memberships, influencing their behavior and attitudes towards others. ",Wikipedia
96,Social Sciences,Design a framework to evaluate educational system performance and improve teaching quality based on structural functionalism.,Structural functionalism,Educational system performance evaluation and teaching quality improvement,"Structural functionalism views society as a complex system whose parts work together to promote stability and order, with each structure serving a specific function. ",Chatgpt-4o
97,Social Sciences,Propose a community program to strengthen police-community relations based on symbolic interactionism.,Symbolic interactionism,Police-community relations and community programs,"Symbolic interactionism focuses on the subjective meanings individuals impose on objects, events, and behaviors, suggesting that society is constructed through human interpretation. ",Wikipedia
98,Social Sciences,Design a tool to analyze social inequality and assist in policy-making based on conflict theory.,Conflict theory,Social inequality analysis and policy-making assistance,"Conflict theory asserts that social structures and institutions are sources of inequality, leading to conflicts that drive social change. ",Chatgpt-4o
99,Social Sciences,Propose a strategy to prevent cybercrimes and ensure cybersecurity based on social network analysis.,Social network analysis,Cybercrimes prevention and cybersecurity,"Social network analysis examines the relationships and interactions within a network, aiming to understand how these connections influence individual and group behaviors. ",Wikipedia
100,Social Sciences,Design a media literacy education course to enhance public critical thinking towards media information based on social constructivism.,Social constructivism,Media literacy education and public critical thinking towards media information,Social constructivism posits that knowledge and understanding are developed collaboratively through social interactions and shared experiences. ,Chatgpt-4o
